date,open,high,low,close,volume,change
02-Jan-01,1320.28,1320.28,1276.05,1283.27,11294,
03-Jan-01,1283.27,1347.76,1274.62,1347.56,18807,64.29004
04-Jan-01,1347.56,1350.24,1329.14,1333.34,21310,-14.22009
05-Jan-01,1333.34,1334.77,1294.95,1298.35,14308,-34.98999
08-Jan-01,1298.35,1298.35,1276.29,1295.86,11155,-2.48999
09-Jan-01,1295.86,1311.72,1295.14,1300.8,11913,4.940063
10-Jan-01,1300.8,1313.76,1287.28,1313.27,12965,12.46997
11-Jan-01,1313.27,1332.19,1309.72,1326.82,14112,13.54993
12-Jan-01,1326.82,1333.21,1311.59,1318.55,12760,-8.269897
16-Jan-01,1318.32,1327.81,1313.33,1326.65,12057,8.099976
17-Jan-01,1326.65,1346.92,1325.41,1329.47,13491,2.819946
18-Jan-01,1329.89,1352.71,1327.41,1347.97,14450,18.5
19-Jan-01,1347.97,1354.55,1336.74,1342.54,14078,-5.429932
22-Jan-01,1342.54,1353.62,1333.84,1342.9,11640,0.3599854
23-Jan-01,1342.9,1362.9,1339.63,1360.4,12326,17.5
24-Jan-01,1360.4,1369.75,1357.28,1364.3,13090,3.900024
25-Jan-01,1364.3,1367.35,1354.63,1357.51,12580,-6.790039
26-Jan-01,1357.51,1357.51,1342.75,1354.95,10980,-2.560059
29-Jan-01,1354.92,1365.54,1350.36,1364.17,10531,9.220093
30-Jan-01,1364.17,1375.68,1356.2,1373.73,11498,9.559937
31-Jan-01,1373.73,1383.37,1364.66,1366.01,12953,-7.719971
01-Feb-01,1366.01,1373.5,1359.34,1373.47,11188,7.459961
02-Feb-01,1373.47,1376.38,1348.72,1349.47,10484,-24
05-Feb-01,1349.47,1354.56,1344.48,1354.31,10130,4.840088
06-Feb-01,1354.31,1363.55,1350.04,1352.26,10596,-2.050049
07-Feb-01,1352.26,1352.26,1334.26,1340.89,11583,-11.37
08-Feb-01,1341.1,1350.32,1332.42,1332.53,11072,-8.359985
09-Feb-01,1332.53,1332.53,1309.98,1314.76,10755,-17.77002
12-Feb-01,1314.76,1330.96,1313.64,1330.31,10391,15.55005
13-Feb-01,1330.31,1336.62,1317.51,1318.8,10752,-11.51001
14-Feb-01,1318.8,1320.73,1304.72,1315.92,11503,-2.880005
15-Feb-01,1315.92,1331.29,1315.92,1326.61,11537,10.68994
16-Feb-01,1326.61,1326.61,1293.18,1301.53,12572,-25.07996
20-Feb-01,1301.53,1307.16,1278.44,1278.94,11122,-22.59009
21-Feb-01,1278.94,1282.97,1253.16,1255.27,12085,-23.66992
22-Feb-01,1255.27,1259.94,1228.33,1252.82,13659,-2.450073
23-Feb-01,1252.82,1252.82,1215.44,1245.86,12313,-6.959961
26-Feb-01,1245.86,1267.69,1241.71,1267.65,11308,21.79004
27-Feb-01,1267.65,1272.76,1252.26,1257.94,11141,-9.710083
28-Feb-01,1257.94,1263.47,1229.65,1239.94,12253,-18
01-Mar-01,1239.94,1241.36,1214.5,1241.23,12949,1.290039
02-Mar-01,1241.23,1251.01,1219.74,1234.18,12940,-7.049927
05-Mar-01,1234.18,1242.55,1234.04,1241.41,9292,7.22998
06-Mar-01,1241.41,1267.42,1241.41,1253.8,10918,12.39001
07-Mar-01,1253.8,1263.86,1253.8,1261.89,11322,8.089966
08-Mar-01,1261.89,1266.5,1257.6,1264.74,11141,2.849976
09-Mar-01,1264.74,1264.74,1228.42,1233.42,10859,-31.31995
12-Mar-01,1233.42,1233.42,1176.78,1180.16,12290,-53.26001
13-Mar-01,1180.16,1197.83,1171.5,1197.66,13609,17.5
14-Mar-01,1197.66,1197.66,1155.35,1166.71,13974,-30.95007
15-Mar-01,1166.71,1182.04,1166.71,1173.56,12595,6.850098
16-Mar-01,1173.56,1173.56,1148.64,1150.53,15435.6,-23.03003
19-Mar-01,1150.53,1173.5,1147.18,1170.81,11262,20.28003
20-Mar-01,1170.81,1180.56,1142.19,1142.62,12359,-28.19006
21-Mar-01,1142.62,1149.39,1118.74,1122.14,13463,-20.47998
22-Mar-01,1122.14,1124.27,1081.19,1117.58,17239.5,-4.560059
23-Mar-01,1117.58,1141.83,1117.58,1139.83,13649,22.25
26-Mar-01,1139.83,1160.02,1139.83,1152.69,11140,12.85999
27-Mar-01,1152.69,1183.35,1150.96,1182.17,13142,29.4801
28-Mar-01,1182.17,1182.17,1147.83,1153.29,13334,-28.88
29-Mar-01,1153.29,1161.69,1136.26,1147.95,12345,-5.340088
30-Mar-01,1147.95,1162.8,1143.83,1160.33,12808,12.38
02-Apr-01,1160.33,1169.51,1137.51,1145.87,12549,-14.45996
03-Apr-01,1145.87,1145.87,1100.19,1106.46,13861,-39.41003
04-Apr-01,1106.46,1117.5,1091.99,1103.25,14255.9,-3.209961
05-Apr-01,1103.25,1151.47,1103.25,1151.44,13680,48.18994
06-Apr-01,1151.44,1151.44,1119.29,1128.43,12668,-23.00989
09-Apr-01,1128.43,1146.13,1126.38,1137.59,10628,9.159912
10-Apr-01,1137.59,1173.92,1137.59,1168.38,13496,30.79004
11-Apr-01,1168.38,1182.24,1160.26,1165.89,12903,-2.48999
12-Apr-01,1165.89,1183.51,1157.73,1183.5,11020,17.60999
16-Apr-01,1183.5,1184.64,1167.38,1179.68,9139,-3.819946
17-Apr-01,1179.68,1192.25,1168.9,1191.81,11096,12.13
18-Apr-01,1191.81,1248.42,1191.81,1238.16,19189,46.34998
19-Apr-01,1238.16,1253.71,1233.39,1253.69,14868,15.52991
20-Apr-01,1253.7,1253.7,1234.41,1242.98,13387,-10.70996
23-Apr-01,1242.98,1242.98,1217.47,1224.36,10126,-18.62
24-Apr-01,1224.36,1233.54,1208.89,1209.47,12165,-14.89001
25-Apr-01,1209.47,1232.36,1207.38,1228.75,12036,19.28003
26-Apr-01,1228.75,1248.3,1228.75,1234.52,13452,5.77002
27-Apr-01,1234.52,1253.07,1234.52,1253.05,10913,18.53003
30-Apr-01,1253.05,1269.3,1243.99,1249.46,12668,-3.590088
01-May-01,1249.46,1266.47,1243.55,1266.44,11813,16.97998
02-May-01,1266.44,1272.93,1257.7,1267.43,13422,0.9901123
03-May-01,1267.43,1267.43,1239.88,1248.58,11379,-18.8501
04-May-01,1248.58,1267.51,1232,1266.61,10821,18.03003
07-May-01,1266.61,1270,1259.19,1263.51,9490,-3.099976
08-May-01,1266.71,1267.01,1253,1261.2,10063,-2.310059
09-May-01,1261.2,1261.65,1247.83,1255.54,11324,-5.659912
10-May-01,1255.54,1268.14,1254.56,1255.18,10567,-0.3599854
11-May-01,1255.18,1259.84,1240.79,1245.67,9062,-9.51001
14-May-01,1245.67,1249.68,1241.02,1248.92,8582,3.25
15-May-01,1248.92,1257.45,1245.36,1249.44,10718,0.5198975
16-May-01,1249.44,1286.39,1243.02,1284.99,14053,35.55005
17-May-01,1284.99,1296.48,1282.65,1288.49,13556,3.5
18-May-01,1288.49,1292.06,1281.15,1291.96,11308,3.469971
21-May-01,1291.96,1312.95,1287.87,1312.83,11749,20.87
22-May-01,1312.83,1315.93,1306.89,1309.38,12604,-3.449951
23-May-01,1309.38,1309.38,1288.7,1289.05,11348,-20.32996
24-May-01,1289.05,1295.04,1281.22,1293.17,11007,4.119995
25-May-01,1293.17,1293.17,1276.42,1277.89,8281,-15.28003
29-May-01,1277.89,1278.42,1265.41,1267.93,10260,-9.959961
30-May-01,1267.93,1267.93,1245.96,1248.08,11586,-19.8501
31-May-01,1248.08,1261.91,1248.07,1255.82,12266,7.73999
01-Jun-01,1255.82,1265.34,1246.88,1260.67,10150,4.850098
04-Jun-01,1260.67,1267.17,1256.36,1267.11,8365,6.439941
05-Jun-01,1267.11,1286.62,1267.11,1283.57,11168,16.45996
06-Jun-01,1283.57,1283.85,1269.01,1270.03,10619,-13.53992
07-Jun-01,1270.03,1277.08,1265.08,1276.96,10896,6.929932
08-Jun-01,1276.96,1277.11,1259.99,1264.96,7262,-12
11-Jun-01,1264.96,1264.96,1249.23,1254.39,8701,-10.56995
12-Jun-01,1254.39,1261,1235.75,1255.85,11365,1.459961
13-Jun-01,1255.85,1259.75,1241.59,1241.6,10636,-14.25
14-Jun-01,1241.6,1241.6,1218.9,1219.87,12429,-21.72998
15-Jun-01,1219.87,1221.5,1203.03,1214.36,16355.5,-5.51001
18-Jun-01,1214.36,1221.23,1208.33,1208.43,11116,-5.929932
19-Jun-01,1208.43,1226.11,1207.71,1212.58,11849,4.149902
20-Jun-01,1212.58,1225.61,1210.07,1223.14,13501,10.56006
21-Jun-01,1223.14,1240.24,1220.25,1237.04,15468.2,13.90002
22-Jun-01,1237.04,1237.73,1221.41,1225.35,11892,-11.69006
25-Jun-01,1225.35,1231.5,1213.6,1218.6,10501,-6.75
26-Jun-01,1218.6,1220.7,1204.64,1216.76,11989,-1.839966
27-Jun-01,1216.76,1219.92,1207.29,1211.07,11621,-5.690063
28-Jun-01,1211.07,1234.44,1211.07,1226.2,13273,15.13
29-Jun-01,1226.2,1237.29,1221.14,1224.38,18323.6,-1.819946
02-Jul-01,1224.42,1239.78,1224.03,1236.72,11283,12.33997
03-Jul-01,1236.71,1236.71,1229.43,1234.45,6221.1,-2.27002
05-Jul-01,1234.45,1234.45,1219.15,1219.24,9349,-15.20996
06-Jul-01,1219.24,1219.24,1188.74,1190.59,10567,-28.65002
09-Jul-01,1190.59,1201.76,1189.75,1198.78,10457,8.190063
10-Jul-01,1198.78,1203.43,1179.93,1181.52,12638,-17.26001
11-Jul-01,1181.52,1184.93,1168.46,1180.18,13841,-1.339966
12-Jul-01,1180.18,1210.25,1180.18,1208.14,13940,27.95996
13-Jul-01,1208.14,1218.54,1203.61,1215.68,11217,7.540039
16-Jul-01,1215.68,1219.63,1200.05,1202.45,10398,-13.2301
17-Jul-01,1202.45,1215.36,1196.14,1214.44,12381,11.98999
18-Jul-01,1214.44,1214.44,1198.33,1207.71,13163,-6.72998
19-Jul-01,1207.71,1225.04,1205.8,1215.02,13435,7.310059
20-Jul-01,1215.02,1215.69,1207.04,1210.85,11709,-4.170044
23-Jul-01,1210.85,1215.22,1190.5,1191.03,9869,-19.81995
24-Jul-01,1191.03,1191.03,1165.54,1171.65,11987,-19.38
25-Jul-01,1171.65,1190.52,1171.28,1190.49,12807,18.83997
26-Jul-01,1190.49,1204.18,1182.65,1202.93,12139,12.44006
27-Jul-01,1202.93,1209.26,1195.99,1205.82,10153,2.889893
30-Jul-01,1205.82,1209.05,1200.41,1204.52,9091,-1.299927
31-Jul-01,1204.52,1222.74,1204.52,1211.23,11292,6.709961
01-Aug-01,1211.23,1223.04,1211.23,1215.93,13403,4.700073
02-Aug-01,1215.93,1226.27,1215.31,1220.75,12183,4.819946
03-Aug-01,1220.75,1220.75,1205.31,1214.35,9399,-6.400024
06-Aug-01,1214.35,1214.35,1197.35,1200.48,8117,-13.87
07-Aug-01,1200.47,1207.56,1195.64,1204.4,10120,3.920044
08-Aug-01,1204.4,1206.79,1181.27,1183.53,11246,-20.87
09-Aug-01,1183.53,1184.71,1174.68,1183.43,11042,-0.0999756
10-Aug-01,1183.43,1193.33,1169.55,1190.16,9609,6.72998
13-Aug-01,1190.16,1193.82,1185.12,1191.29,8376,1.130005
14-Aug-01,1191.29,1198.79,1184.26,1186.73,9646,-4.560059
15-Aug-01,1186.73,1191.21,1177.61,1178.02,10656,-8.709961
16-Aug-01,1178.02,1181.8,1166.08,1181.66,10554,3.640015
17-Aug-01,1181.66,1181.66,1156.07,1161.97,9743,-19.69006
20-Aug-01,1161.97,1171.41,1160.94,1171.41,8971,9.440063
21-Aug-01,1171.41,1179.85,1156.56,1157.26,10416,-14.15002
22-Aug-01,1157.26,1168.56,1153.34,1165.31,11108,8.050049
23-Aug-01,1165.31,1169.86,1160.96,1162.09,9862,-3.220093
24-Aug-01,1162.09,1185.15,1162.09,1184.93,10436,22.84009
27-Aug-01,1184.93,1186.85,1178.07,1179.21,8426,-5.720093
28-Aug-01,1179.21,1179.66,1161.17,1161.51,9871,-17.69995
29-Aug-01,1161.51,1166.97,1147.38,1148.56,9637,-12.94995
30-Aug-01,1148.6,1151.75,1124.87,1129.03,11570,-19.53003
31-Aug-01,1129.03,1141.83,1126.38,1133.58,9201,4.549927
04-Sep-01,1133.58,1155.4,1129.06,1132.94,11783,-0.6400146
05-Sep-01,1132.94,1135.52,1114.86,1131.74,13845,-1.199951
06-Sep-01,1131.74,1131.74,1105.83,1106.4,13597,-25.33997
07-Sep-01,1106.4,1106.4,1082.12,1085.78,14243,-20.62
10-Sep-01,1085.78,1096.94,1073.15,1092.54,12766,6.76001
17-Sep-01,1092.54,1092.54,1037.46,1038.77,23308.3,-53.77002
18-Sep-01,1038.77,1046.42,1029.25,1032.74,16504.1,-6.030029
19-Sep-01,1032.74,1038.91,984.62,1016.1,21205.5,-16.64001
20-Sep-01,1016.1,1016.1,984.49,984.54,20048,-31.56
21-Sep-01,984.54,984.54,944.75,965.8,23173,-18.73999
24-Sep-01,965.8,1008.44,965.8,1003.45,17466,37.65002
25-Sep-01,1003.45,1017.14,998.33,1012.27,16138,8.820007
26-Sep-01,1012.27,1020.29,1002.62,1007.04,15191,-5.230042
27-Sep-01,1007.04,1018.92,998.24,1018.61,14670,11.57001
28-Sep-01,1018.61,1040.94,1018.61,1040.94,16315,22.32996
01-Oct-01,1040.94,1040.94,1026.76,1038.55,11756,-2.389893
02-Oct-01,1038.55,1051.33,1034.47,1051.33,12898,12.77991
03-Oct-01,1051.33,1075.38,1041.48,1072.28,16506,20.95007
04-Oct-01,1072.28,1084.12,1067.82,1069.63,16091,-2.650024
05-Oct-01,1069.62,1072.35,1053.5,1071.38,13017,1.75
08-Oct-01,1071.37,1071.37,1056.88,1062.44,9790,-8.940063
09-Oct-01,1062.44,1063.37,1053.83,1056.75,12278,-5.689941
10-Oct-01,1056.75,1081.62,1052.76,1080.99,13124,24.23999
11-Oct-01,1080.99,1099.16,1080.99,1097.43,17045.8,16.44006
12-Oct-01,1097.43,1097.43,1072.15,1091.65,13314,-5.780029
15-Oct-01,1091.65,1091.65,1078.19,1089.98,10247,-1.670044
16-Oct-01,1089.98,1101.66,1087.13,1097.54,12105,7.560059
17-Oct-01,1097.54,1107.12,1076.57,1077.09,14522,-20.45007
18-Oct-01,1077.09,1077.94,1064.54,1068.61,12629,-8.47998
19-Oct-01,1068.61,1075.52,1057.24,1073.48,12949,4.869995
22-Oct-01,1073.48,1090.57,1070.79,1089.9,11057,16.42004
23-Oct-01,1089.9,1098.99,1081.53,1084.78,13173,-5.119995
24-Oct-01,1084.78,1090.26,1079.98,1085.2,13362,0.4199219
25-Oct-01,1085.2,1100.09,1065.64,1100.09,13644,14.89001
26-Oct-01,1100.09,1110.61,1094.24,1104.61,12445,4.52002
29-Oct-01,1104.61,1104.61,1078.3,1078.3,11061,-26.30994
30-Oct-01,1078.3,1078.3,1053.61,1059.79,12974,-18.51001
31-Oct-01,1059.79,1074.79,1057.55,1059.78,13525,-0.0100098
01-Nov-01,1059.78,1085.61,1054.31,1084.1,13174,24.31995
02-Nov-01,1084.1,1089.63,1075.58,1087.2,11219,3.099976
05-Nov-01,1087.2,1106.72,1087.2,1102.84,12677,15.64001
06-Nov-01,1102.84,1119.73,1095.36,1118.86,13560,16.02002
07-Nov-01,1118.86,1126.62,1112.98,1115.8,14113,-3.059937
08-Nov-01,1115.8,1135.75,1115.42,1118.54,15175,2.73999
09-Nov-01,1118.54,1123.02,1111.13,1120.31,10938,1.77002
12-Nov-01,1120.31,1121.71,1098.32,1118.33,9916,-1.980103
13-Nov-01,1118.33,1139.14,1118.33,1139.09,13701,20.76001
14-Nov-01,1139.09,1148.28,1132.87,1141.21,14434,2.119995
15-Nov-01,1141.21,1146.46,1135.06,1142.24,14545,1.030029
16-Nov-01,1142.24,1143.52,1129.92,1138.65,13374,-3.589966
19-Nov-01,1138.65,1151.06,1138.65,1151.06,13168,12.41003
20-Nov-01,1151.06,1152.45,1142.17,1142.66,13302,-8.400024
21-Nov-01,1142.66,1142.66,1129.78,1137.03,10293,-5.630005
23-Nov-01,1137.03,1151.05,1135.9,1150.34,4103,13.30994
26-Nov-01,1150.34,1157.88,1146.17,1157.42,11298,7.080078
27-Nov-01,1157.42,1163.38,1140.81,1149.5,12880,-7.920044
28-Nov-01,1149.5,1149.5,1128.29,1128.52,14237,-20.97998
29-Nov-01,1128.52,1140.4,1125.51,1140.2,13757,11.67993
30-Nov-01,1140.2,1143.57,1135.89,1139.45,13436,-0.75
03-Dec-01,1139.45,1139.45,1125.78,1129.9,12029,-9.549927
04-Dec-01,1129.9,1144.8,1128.86,1144.8,13185,14.90002
05-Dec-01,1143.77,1173.62,1143.77,1170.35,17653,25.54993
06-Dec-01,1170.35,1173.35,1164.43,1167.1,14879,-3.25
07-Dec-01,1167.1,1167.1,1152.66,1158.31,12482,-8.789917
10-Dec-01,1158.31,1158.31,1139.66,1139.93,12187,-18.38
11-Dec-01,1139.93,1150.89,1134.32,1136.76,13672,-3.170044
12-Dec-01,1136.76,1141.58,1126.01,1137.07,14497,0.3099365
13-Dec-01,1137.07,1137.07,1117.85,1119.38,15115,-17.68994
14-Dec-01,1119.38,1128.28,1114.53,1123.09,13068,3.709961
17-Dec-01,1123.09,1137.3,1122.66,1134.36,12604,11.27002
18-Dec-01,1134.36,1145.1,1134.36,1142.92,13540,8.560059
19-Dec-01,1142.92,1152.44,1134.75,1149.56,14849,6.640015
20-Dec-01,1149.56,1151.42,1139.93,1139.93,14905,-9.630005
21-Dec-01,1139.93,1147.46,1139.93,1144.89,16940,4.959961
24-Dec-01,1144.89,1147.83,1144.62,1144.65,4396.7,-0.2399902
26-Dec-01,1144.65,1159.18,1144.65,1149.37,7911,4.719971
27-Dec-01,1149.37,1157.13,1149.37,1157.13,8763,7.76001
28-Dec-01,1157.13,1164.64,1157.13,1161.02,9174,3.890015
31-Dec-01,1161.02,1161.16,1148.04,1148.08,9436,-12.94006
